canonical_metric,template_family,statement_family,raw_item_id,dialect,priority,notes
cash_and_equivalents,corporate_vas,balance_sheet,cash_and_cash_equivalents,common,100,
short_term_debt,corporate_vas,balance_sheet,short_term_borrowings,common,100,interest-bearing short-term borrowings; not total current liabilities
long_term_debt,corporate_vas,balance_sheet,long_term_borrowings,common,100,interest-bearing long-term borrowings
total_assets,corporate_vas,balance_sheet,total_assets,common,100,
total_liabilities,corporate_vas,balance_sheet,liabilities,common,100,
current_assets,corporate_vas,balance_sheet,current_assets,common,100,
current_liabilities,corporate_vas,balance_sheet,current_liabilities,common,100,
shareholders_equity,corporate_vas,balance_sheet,owners_equity,common,100,
retained_earnings,corporate_vas,balance_sheet,undistributed_earnings,common,100,
minority_interests,corporate_vas,balance_sheet,minority_interests,common,100,
inventories,corporate_vas,balance_sheet,inventories_net,common,100,
revenue,corporate_vas,income_statement,revenue,vci_a,100,gross and net revenue share this item_id; occurrence must disambiguate
revenue,corporate_vas,income_statement,net_sales,kbs_b,90,
revenue,corporate_vas,income_statement,sales,kbs_b,80,
cost_of_goods_sold,corporate_vas,income_statement,cost_of_goods_sold,vci_a,100,
cost_of_goods_sold,corporate_vas,income_statement,cost_of_sales,kbs_b,90,
gross_profit,corporate_vas,income_statement,gross_profit,common,100,
operating_profit,corporate_vas,income_statement,operating_profit,vci_a,100,
profit_before_tax,corporate_vas,income_statement,profit_before_tax,vci_a,100,
profit_before_tax,corporate_vas,income_statement,net_accounting_profit_loss_before_tax,kbs_b,90,
net_income,corporate_vas,income_statement,net_profit,vci_a,100,
attributable_income,corporate_vas,income_statement,profit_after_tax_for_shareholders_of_parent_company,vci_a,100,
interest_expense,corporate_vas,income_statement,of_which_interest_expense,vci_a,100,
interest_expense,corporate_vas,income_statement,interest_expenses,kbs_b,90,
interest_expense,corporate_vas,cash_flow,borrowing_costs,vci_a,70,cash-flow add-back; weaker than the income-statement line
interest_expense,corporate_vas,cash_flow,interest_paid,kbs_b,60,cash paid, not accrued expense
depreciation_amortization,corporate_vas,cash_flow,depreciation_of_fixed_assets_and_investment_properties,vci_a,100,
depreciation_amortization,corporate_vas,cash_flow,depreciation_and_amortization,kbs_b,100,
operating_cash_flow,corporate_vas,cash_flow,operating_cash_flow,vci_a,100,
operating_cash_flow,corporate_vas,cash_flow,net_cash_inflows_outflows_from_operating_activities,kbs_b,100,
investing_cash_flow,corporate_vas,cash_flow,investing_cash_flow,vci_a,100,
investing_cash_flow,corporate_vas,cash_flow,net_cash_inflows_outflows_from_investing_activities,kbs_b,100,
financing_cash_flow,corporate_vas,cash_flow,financing_cash_flow,vci_a,100,
financing_cash_flow,corporate_vas,cash_flow,net_cash_inflows_outflows_from_financing_activities,kbs_b,100,
capital_expenditure,corporate_vas,cash_flow,payment_for_fixed_assets_constructions_and_other_long_term_assets,vci_a,100,
capital_expenditure,corporate_vas,cash_flow,purchases_of_fixed_assets_and_other_long_term_assets,kbs_b,100,
total_assets,credit_institution,balance_sheet,total_assets,common,100,
total_liabilities,credit_institution,balance_sheet,total_liabilities,common,100,
shareholders_equity,credit_institution,balance_sheet,owners_equity,common,100,
net_income,credit_institution,income_statement,net_profit,common,100,
attributable_income,credit_institution,income_statement,net_profit_atttributable_to_the_equity_holders_of_the_bank,common,100,provider spelling retained verbatim
profit_before_tax,credit_institution,income_statement,profit_before_tax,common,100,
net_interest_income,credit_institution,income_statement,net_interest_income,common,100,
interest_expense,credit_institution,income_statement,interest_expense_and_similar_expenses,common,100,
loans_to_customers,credit_institution,balance_sheet,loans_and_advances_to_customers,common,100,
customer_deposits,credit_institution,balance_sheet,deposits_from_customers,common,100,
credit_loss_provision,credit_institution,income_statement,provision_for_credit_losses,common,100,
total_assets,securities_company,balance_sheet,total_assets,common,100,
shareholders_equity,securities_company,balance_sheet,owners_equity,common,100,
profit_before_tax,securities_company,income_statement,profit_before_tax,common,100,
net_income,securities_company,income_statement,net_profit,common,100,
interest_expense,securities_company,income_statement,borrowing_costs,common,100,
