rule_id,canonical_metric,entity_type,report_type,source,item_id,source_field,normalized_label,label_regex,priority,sign_multiplier,unit_multiplier,derivation_rule,valid_from,valid_to
pbt_kbs_income,profit_before_tax,*,income_statement,KBS,profit_before_tax,,,,120,1,1,,,
pbt_kbs_cash,profit_before_tax,*,cash_flow,KBS,profit_before_tax,,,,80,1,1,,,
pbt_insurance_income,profit_before_tax,insurance,income_statement,KBS,total_profit_before_tax,,,,125,1,1,,,
interest_corporate_income,interest_expense,corporate,income_statement,KBS,of_which_interest_expense,,,,130,1,1,,,
interest_corporate_cash,interest_expense,corporate,cash_flow,KBS,borrowing_costs,,,,80,1,1,,,
interest_securities_cash,interest_expense,securities,cash_flow,KBS,interest_expense,,,,120,1,1,,,
interest_securities_income,interest_expense,securities,income_statement,KBS,borrowing_costs,,,,110,1,1,,,
interest_bank_income,interest_expense,bank,income_statement,KBS,interest_expense_and_similar_expenses,,,,130,1,1,,,
interest_finance_company_income,interest_expense,finance_company,income_statement,KBS,interest_expense_and_similar_expenses,,,,130,1,1,,,
interest_insurance_cash,interest_expense,insurance,cash_flow,KBS,interest_expense,,,,120,1,1,,,
interest_source_field,interest_expense,corporate,income_statement,*, ,interestExpense,,,105,1,1,,,
interest_exact_label,interest_expense,corporate,income_statement,KBS,,,chi phí lãi vay,,100,1,1,,,
interest_regex_label,interest_expense,corporate,income_statement,KBS,,,,^(trong đó:\s*)?chi phí (lãi vay|đi vay)$,90,1,1,,,
ocf_item_id,operating_cash_flow,*,cash_flow,*,operating_cash_flow,,,,130,1,1,,,
ocf_exact_label,operating_cash_flow,*,cash_flow,*,,,lưu chuyển tiền thuần từ hoạt động kinh doanh,,100,1,1,,,
ocf_regex_label,operating_cash_flow,*,cash_flow,*,,,,^lưu chuyển tiền (thuần )?từ hoạt động kinh doanh$,90,1,1,,,
retained_corporate,retained_earnings,corporate,balance_sheet,VCI,undistributed_earnings,,,,130,1,1,,,
retained_prior_corporate,retained_earnings_prior_year,corporate,balance_sheet,VCI,beginning_accumulated_undistributed_earnings,,,,125,1,1,,,
retained_current_corporate,retained_earnings_current_year,corporate,balance_sheet,VCI,current_period_undistributed_earnings,,,,125,1,1,,,
retained_securities,retained_earnings,securities,balance_sheet,VCI,undistributed_earnings,,,,130,1,1,,,
retained_bank,retained_earnings,bank,balance_sheet,VCI,retained_earnings,,,,130,1,1,,,
retained_finance_company,retained_earnings,finance_company,balance_sheet,VCI,retained_earnings,,,,130,1,1,,,
retained_insurance,retained_earnings,insurance,balance_sheet,VCI,retained_earnings,,,,130,1,1,,,
retained_exact_label,retained_earnings,corporate,balance_sheet,VCI,,,lãi chưa phân phối,,100,1,1,,,
depreciation_corporate,depreciation,corporate,cash_flow,KBS,depreciation_of_fixed_assets_and_investment_properties,,,,130,1,1,,,
depreciation_direct,depreciation,*,cash_flow,*,depreciation,,,,120,1,1,,,
da_securities,depreciation_and_amortization,securities,cash_flow,KBS,depreciation_and_amortization,,,,130,1,1,,,
da_insurance,depreciation_and_amortization,insurance,cash_flow,KBS,depreciation_and_amortization,,,,130,1,1,,,
amortization_direct,amortization,*,cash_flow,*,amortization,,,,120,1,1,,,
selling_corporate,selling_expense,corporate,income_statement,KBS,selling_expenses,,,,130,1,1,,,
admin_corporate_short,general_admin_expense,corporate,income_statement,KBS,admin_expenses,,,,130,1,1,,,
admin_corporate_long,general_admin_expense,corporate,income_statement,KBS,administrative_expenses,,,,125,1,1,,,
ebit_reported,ebit,*,income_statement,*,ebit,,,,130,1,1,,,
ebitda_reported,ebitda,*,income_statement,*,ebitda,,,,130,1,1,,,
sga_reported,sga,corporate,income_statement,*,sga,,,,130,1,1,,,
derive_ebit_corporate,ebit,corporate,derived,*,,,,,50,1,1,profit_before_tax + interest_expense,,
derive_ebitda_corporate,ebitda,corporate,derived,*,,,,,50,1,1,ebit + depreciation + amortization,,
derive_sga_corporate,sga,corporate,derived,*,,,,,50,1,1,selling_expense + general_admin_expense,,
